,Node,Network,Group,Network type,Conserved fraction,Prevalence of conserved fraction,Centrality,Upper limit,Lower limit,Values
37,151283,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.9335106382978723), ('arctic_spiec.graphml', 0.5372340425531915)]"
38,4405710,Input,networks,Input networks,,,Degree,1.0,0.8617773495278924,"[('arctic_flash.graphml', 0.9893617021276596), ('arctic_spiec.graphml', 0.9707446808510638)]"
39,741312,Input,networks,Input networks,,,Degree,0.8764875188953408,0.7751082257855103,"[('arctic_flash.graphml', 0.8297872340425532), ('arctic_spiec.graphml', 0.8218085106382979)]"
40,727692,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.8297872340425532), ('arctic_spiec.graphml', 0.6436170212765957)]"
41,544990,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.13829787234042554)]"
42,214584,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.8297872340425532), ('arctic_spiec.graphml', 0.6436170212765957)]"
43,151955,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.24202127659574468)]"
44,712222,Input,networks,Input networks,,,Degree,0.23201390536859728,0.0,"[('arctic_flash.graphml', 0.013297872340425532), ('arctic_spiec.graphml', 0.04521276595744681)]"
45,161623,Input,networks,Input networks,,,Degree,0.956439772523854,0.1791985253484864,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.5372340425531915)]"
46,573298,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.38563829787234044)]"
47,1128503,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.8218085106382979)]"
48,75371,Input,networks,Input networks,,,Degree,0.2821551350712995,0.0,"[('arctic_flash.graphml', 0.0797872340425532), ('arctic_spiec.graphml', 0.04521276595744681)]"
49,4424843,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.0797872340425532), ('arctic_spiec.graphml', 0.38563829787234044)]"
50,154519,Input,networks,Input networks,,,Degree,1.0,0.8059262856981058,"[('arctic_flash.graphml', 0.9335106382978723), ('arctic_spiec.graphml', 0.9148936170212766)]"
51,1127423,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.04521276595744681)]"
52,133533,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.38563829787234044)]"
53,1123984,Input,networks,Input networks,,,Degree,0.5700953261380022,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.24202127659574468)]"
54,223583,Input,networks,Input networks,,,Degree,1.0,0.5340187633082314,"[('arctic_flash.graphml', 0.8297872340425532), ('arctic_spiec.graphml', 0.8803191489361702)]"
55,78839,Input,networks,Input networks,,,Degree,0.4807666279275347,0.0,"[('arctic_flash.graphml', 0.0797872340425532), ('arctic_spiec.graphml', 0.13829787234042554)]"
56,4341561,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.04521276595744681)]"
57,566080,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.5372340425531915)]"
58,4440396,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.7340425531914894)]"
59,734275,Input,networks,Input networks,,,Degree,0.956439772523854,0.1791985253484864,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.5372340425531915)]"
60,210306,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.13829787234042554)]"
61,4480595,Input,networks,Input networks,,,Degree,0.9082519687757251,0.33376930782001973,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.6436170212765957)]"
62,4478794,Input,networks,Input networks,,,Degree,1.0,0.17363913495803818,"[('arctic_flash.graphml', 0.8297872340425532), ('arctic_spiec.graphml', 0.7340425531914894)]"
63,1044319,Input,networks,Input networks,,,Degree,0.9460417161057919,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.38563829787234044)]"
64,4343458,Input,networks,Input networks,,,Degree,0.9460417161057919,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.38563829787234044)]"
65,208293,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.6436170212765957)]"
66,1112793,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.9335106382978723), ('arctic_spiec.graphml', 0.5372340425531915)]"
67,217132,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.8297872340425532), ('arctic_spiec.graphml', 0.5372340425531915)]"
68,1104509,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.5372340425531915)]"
69,146397,Input,networks,Input networks,,,Degree,1.0,0.6221754059459547,"[('arctic_flash.graphml', 0.9335106382978723), ('arctic_spiec.graphml', 0.9867021276595744)]"
70,3990161,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.6436170212765957)]"
71,510452,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.0797872340425532), ('arctic_spiec.graphml', 0.24202127659574468)]"
72,113588,Input,networks,Input networks,,,Degree,0.9460417161057919,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.38563829787234044)]"
73,214791,Input,networks,Input networks,,,Degree,0.23201390536859728,0.0,"[('arctic_flash.graphml', 0.013297872340425532), ('arctic_spiec.graphml', 0.04521276595744681)]"
74,111925,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.24202127659574468)]"
75,216771,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.8297872340425532), ('arctic_spiec.graphml', 0.9973404255319149)]"
76,783593,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.13829787234042554)]"
77,4327003,Input,networks,Input networks,,,Degree,0.5700953261380022,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.24202127659574468)]"
78,4367783,Input,networks,Input networks,,,Degree,0.9460417161057919,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.38563829787234044)]"
79,156065,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.04521276595744681)]"
80,1528654,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.13829787234042554)]"
81,1094340,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.0797872340425532), ('arctic_spiec.graphml', 0.24202127659574468)]"
82,231965,Input,networks,Input networks,,,Degree,0.9460417161057919,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.38563829787234044)]"
83,841979,Input,networks,Input networks,,,Degree,0.5700953261380022,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.24202127659574468)]"
84,214611,Input,networks,Input networks,,,Degree,1.0,0.17363913495803818,"[('arctic_flash.graphml', 0.8297872340425532), ('arctic_spiec.graphml', 0.7340425531914894)]"
85,204462,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.8297872340425532), ('arctic_spiec.graphml', 0.5372340425531915)]"
86,4450823,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.04521276595744681)]"
