,Network,Group,Network type,Conserved fraction,Prevalence of conserved fraction,Set type,Set size,Set type (absolute),Samples
105,Random,networks,Random networks,,,Intersection 1,5,2.0,2.0
106,Degree,networks,Degree networks,,,Difference,666,,2.0
107,Degree,networks,Degree networks,,,Intersection 1,4,2.0,2.0
108,Random,networks,Random networks,,,Difference,656,,2.0
109,Random,networks,Random networks,,,Intersection 1,9,2.0,2.0
110,Degree,networks,Degree networks,,,Difference,652,,2.0
111,Degree,networks,Degree networks,,,Intersection 1,11,2.0,2.0
112,Random,networks,Random networks,,,Difference,662,,2.0
113,Random,networks,Random networks,,,Intersection 1,6,2.0,2.0
114,Degree,networks,Degree networks,,,Difference,670,,2.0
115,Degree,networks,Degree networks,,,Intersection 1,2,2.0,2.0
116,Random,networks,Random networks,,,Difference,670,,2.0
117,Random,networks,Random networks,,,Intersection 1,2,2.0,2.0
118,Degree,networks,Degree networks,,,Difference,670,,2.0
119,Degree,networks,Degree networks,,,Intersection 1,2,2.0,2.0
120,Random,networks,Random networks,,,Difference,660,,2.0
121,Random,networks,Random networks,,,Intersection 1,7,2.0,2.0
122,Degree,networks,Degree networks,,,Difference,654,,2.0
123,Degree,networks,Degree networks,,,Intersection 1,10,2.0,2.0
124,Random,networks,Random networks,,,Difference,670,,2.0
125,Random,networks,Random networks,,,Intersection 1,2,2.0,2.0
126,Degree,networks,Degree networks,,,Difference,656,,2.0
127,Degree,networks,Degree networks,,,Intersection 1,9,2.0,2.0
128,Random,networks,Random networks,,,Difference,668,,2.0
129,Random,networks,Random networks,,,Intersection 1,3,2.0,2.0
130,Degree,networks,Degree networks,,,Difference,650,,2.0
131,Degree,networks,Degree networks,,,Intersection 1,12,2.0,2.0
132,Random,networks,Random networks,,,Difference,668,,2.0
133,Random,networks,Random networks,,,Intersection 1,3,2.0,2.0
134,Degree,networks,Degree networks,,,Difference,664,,2.0
135,Degree,networks,Degree networks,,,Intersection 1,5,2.0,2.0
136,Random,networks,Random networks,,,Difference,664,,2.0
137,Random,networks,Random networks,,,Intersection 1,5,2.0,2.0
138,Degree,networks,Degree networks,,,Difference,664,,2.0
139,Degree,networks,Degree networks,,,Intersection 1,5,2.0,2.0
140,Random,networks,Random networks,,,Difference,662,,2.0
141,Random,networks,Random networks,,,Intersection 1,6,2.0,2.0
142,Degree,networks,Degree networks,,,Difference,658,,2.0
143,Degree,networks,Degree networks,,,Intersection 1,8,2.0,2.0
144,Random,networks,Random networks,,,Difference,670,,2.0
