,Node,Network,Group,Network type,Conserved fraction,Prevalence of conserved fraction,Centrality,Upper limit,Lower limit,Values
34,3174304,Input,anuran,Input networks,,,Degree,1,0,"[('arctic_genus_flash.graphml', 0.45689655172413796), ('arctic_genus_spiec.graphml', 0.19827586206896552)]"
35,512006,Input,anuran,Input networks,,,Degree,1,0.5273722504678585,"[('arctic_genus_flash.graphml', 0.9310344827586207), ('arctic_genus_spiec.graphml', 1.0)]"
36,2300392,Input,anuran,Input networks,,,Degree,1,0,"[('arctic_genus_flash.graphml', 0.1724137931034483), ('arctic_genus_spiec.graphml', 0.5086206896551724)]"
37,216805,Input,anuran,Input networks,,,Degree,0.8113673638732434,0.1541498775060669,"[('arctic_genus_flash.graphml', 0.45689655172413796), ('arctic_genus_spiec.graphml', 0.5086206896551724)]"
38,570344,Input,anuran,Input networks,,,Degree,0.3496491991780012,0.02104045599441262,"[('arctic_genus_flash.graphml', 0.1724137931034483), ('arctic_genus_spiec.graphml', 0.19827586206896552)]"
39,733712,Input,anuran,Input networks,,,Degree,1,0,"[('arctic_genus_flash.graphml', 0.45689655172413796), ('arctic_genus_spiec.graphml', 0.8879310344827587)]"
40,814176,Input,anuran,Input networks,,,Degree,1,0,"[('arctic_genus_flash.graphml', 0.45689655172413796), ('arctic_genus_spiec.graphml', 0.19827586206896552)]"
41,1128503,Input,anuran,Input networks,,,Degree,1,0,"[('arctic_genus_flash.graphml', 0.7241379310344828), ('arctic_genus_spiec.graphml', 0.9224137931034483)]"
42,103285,Input,anuran,Input networks,,,Degree,0.3496491991780012,0.02104045599441262,"[('arctic_genus_flash.graphml', 0.1724137931034483), ('arctic_genus_spiec.graphml', 0.19827586206896552)]"
43,223583,Input,anuran,Input networks,,,Degree,1,0,"[('arctic_genus_flash.graphml', 0.7241379310344828), ('arctic_genus_spiec.graphml', 0.5086206896551724)]"
44,250050,Input,anuran,Input networks,,,Degree,0.3496491991780012,0.02104045599441262,"[('arctic_genus_flash.graphml', 0.1724137931034483), ('arctic_genus_spiec.graphml', 0.19827586206896552)]"
45,1101315,Input,anuran,Input networks,,,Degree,1,0,"[('arctic_genus_flash.graphml', 0.1724137931034483), ('arctic_genus_spiec.graphml', 0.6982758620689655)]"
46,566080,Input,anuran,Input networks,,,Degree,1,0,"[('arctic_genus_flash.graphml', 0.7241379310344828), ('arctic_genus_spiec.graphml', 0.19827586206896552)]"
47,113212,Input,anuran,Input networks,,,Degree,1,0.46576106398696293,"[('arctic_genus_flash.graphml', 0.8793103448275862), ('arctic_genus_spiec.graphml', 0.8189655172413793)]"
48,222087,Input,anuran,Input networks,,,Degree,1,0.16910236163468506,"[('arctic_genus_flash.graphml', 0.7241379310344828), ('arctic_genus_spiec.graphml', 0.8189655172413793)]"
49,231965,Input,anuran,Input networks,,,Degree,1,0,"[('arctic_genus_flash.graphml', 0.45689655172413796), ('arctic_genus_spiec.graphml', 0.19827586206896552)]"
50,845780,Input,anuran,Input networks,,,Degree,1,0,"[('arctic_genus_flash.graphml', 0.45689655172413796), ('arctic_genus_spiec.graphml', 0.19827586206896552)]"
51,766178,Input,anuran,Input networks,,,Degree,1,0,"[('arctic_genus_flash.graphml', 0.8793103448275862), ('arctic_genus_spiec.graphml', 0.5086206896551724)]"
52,334186,Input,anuran,Input networks,,,Degree,0.8113673638732434,0.1541498775060669,"[('arctic_genus_flash.graphml', 0.45689655172413796), ('arctic_genus_spiec.graphml', 0.5086206896551724)]"
53,4409769,Input,anuran,Input networks,,,Degree,0.3496491991780012,0.02104045599441262,"[('arctic_genus_flash.graphml', 0.1724137931034483), ('arctic_genus_spiec.graphml', 0.19827586206896552)]"
54,742260,Input,anuran,Input networks,,,Degree,0.3496491991780012,0.02104045599441262,"[('arctic_genus_flash.graphml', 0.1724137931034483), ('arctic_genus_spiec.graphml', 0.19827586206896552)]"
55,1136344,Input,anuran,Input networks,,,Degree,1,0,"[('arctic_genus_flash.graphml', 0.7241379310344828), ('arctic_genus_spiec.graphml', 0.5086206896551724)]"
56,968085,Input,anuran,Input networks,,,Degree,1,0,"[('arctic_genus_flash.graphml', 0.9310344827586207), ('arctic_genus_spiec.graphml', 0.5086206896551724)]"
57,1129210,Input,anuran,Input networks,,,Degree,1,0.6787455875768944,"[('arctic_genus_flash.graphml', 0.9310344827586207), ('arctic_genus_spiec.graphml', 0.9741379310344828)]"
58,4330207,Input,anuran,Input networks,,,Closeness,1,0.6947206079925503,"[('arctic_genus_flash.graphml', 0.9310344827586207), ('arctic_genus_spiec.graphml', 0.896551724137931)]"
59,112795,Input,anuran,Input networks,,,Closeness,0.9551425476141442,0,"[('arctic_genus_flash.graphml', 0.06896551724137931), ('arctic_genus_spiec.graphml', 0.19827586206896552)]"
60,214584,Input,anuran,Input networks,,,Closeness,1,0.04232473459647779,"[('arctic_genus_flash.graphml', 0.6982758620689655), ('arctic_genus_spiec.graphml', 0.8103448275862069)]"
61,279074,Input,anuran,Input networks,,,Closeness,1,0,"[('arctic_genus_flash.graphml', 0.3620689655172414), ('arctic_genus_spiec.graphml', 0.7413793103448276)]"
62,160908,Input,anuran,Input networks,,,Closeness,0.8542269895414537,0,"[('arctic_genus_flash.graphml', 0.08620689655172414), ('arctic_genus_spiec.graphml', 0.19827586206896552)]"
63,279138,Input,anuran,Input networks,,,Closeness,1,0.8818430626169645,"[('arctic_genus_flash.graphml', 1.0), ('arctic_genus_spiec.graphml', 0.9827586206896551)]"
64,545290,Input,anuran,Input networks,,,Closeness,0.9924018466318645,0.33518436026468734,"[('arctic_genus_flash.graphml', 0.6379310344827587), ('arctic_genus_spiec.graphml', 0.6896551724137931)]"
65,1126251,Input,anuran,Input networks,,,Closeness,1,0,"[('arctic_genus_flash.graphml', 0.9482758620689655), ('arctic_genus_spiec.graphml', 0.7758620689655172)]"
66,206565,Input,anuran,Input networks,,,Closeness,1,0,"[('arctic_genus_flash.graphml', 0.7758620689655172), ('arctic_genus_spiec.graphml', 0.5344827586206896)]"
67,209662,Input,anuran,Input networks,,,Closeness,0.8940190063485528,0.6749465108928266,"[('arctic_genus_flash.graphml', 0.7758620689655172), ('arctic_genus_spiec.graphml', 0.7931034482758621)]"
68,1142733,Input,anuran,Input networks,,,Closeness,1,0,"[('arctic_genus_flash.graphml', 0.7241379310344828), ('arctic_genus_spiec.graphml', 0.19827586206896552)]"
69,544990,Input,anuran,Input networks,,,Closeness,0.37551126814351843,0.04690252495992986,"[('arctic_genus_flash.graphml', 0.22413793103448276), ('arctic_genus_spiec.graphml', 0.19827586206896552)]"
70,1133738,Input,anuran,Input networks,,,Closeness,1,0,"[('arctic_genus_flash.graphml', 0.7758620689655172), ('arctic_genus_spiec.graphml', 0.5)]"
71,222768,Input,anuran,Input networks,,,Closeness,0.966295955058695,0,"[('arctic_genus_flash.graphml', 0.3103448275862069), ('arctic_genus_spiec.graphml', 0.19827586206896552)]"
72,4382894,Input,anuran,Input networks,,,Closeness,0.7890605489841421,0,"[('arctic_genus_flash.graphml', 0.28448275862068967), ('arctic_genus_spiec.graphml', 0.19827586206896552)]"
