	R1A001	R1A01	R1A1	R1A10	R1A100	R1B01	R1B1	R1B10	R1B100	R1C01	R1C1	R1C10	R1C100	R2A001	R2A01	R2A1	R2A10	R2A100	R2B01	R2B1	R2B10	R2B100	R2C01	R2C1	R2C10	R2C100	R3A001	R3A01	R3A1	R3A10	R3A100	R3B01	R3B1	R3B10	R3B100	R3C01	R3C1	R3C10	R3C100
R2B1	502.33	502.31	502.13	500.47	492.91	502.25	501.59	491.91	408.83	502.23	501.33	492.3	388.22	1.01	0.93	0.68	9.29	111.88	0.9	0	13.09	144.98	0.94	0.83	9.39	96.66	492.2	492.2	492.25	492.87	507.8	492.13	491.51	482.72	410.91	492.1	491.19	482.17	398.15
R2B10	493.35	493.33	493.13	491.3	482.25	493.27	492.6	482.75	397.81	493.25	492.35	483.33	379.35	14.09	14.02	13.34	9.03	102.3	13.99	13.09	0	131.89	14.03	13.45	10.56	88.62	482.59	482.6	482.63	483.08	496.56	482.52	481.9	472.93	399.45	482.49	481.59	472.56	388.44
R2B100	415.01	414.97	414.58	410.75	383.14	414.92	414.13	402.57	296.09	414.92	414.05	405.41	307.07	145.98	145.9	145.21	138.41	94.59	145.88	144.98	131.89	0	145.91	145.32	139.51	109.16	397.31	397.29	397.12	395.52	389.99	397.23	396.47	385.58	292.01	397.21	396.33	387.48	305.28
R2C01	502.93	502.91	502.73	501.08	493.64	502.85	502.19	492.52	409.58	502.83	501.92	492.9	388.81	0.13	0.13	1.01	10.04	112.64	0.1	0.94	14.03	145.91	0	0.9	9.93	97.22	492.94	492.95	493	493.62	508.64	492.87	492.26	483.48	411.77	492.84	491.94	482.92	398.9
R2C1	502.02	502.01	501.83	500.18	492.76	501.95	501.29	491.62	408.72	501.93	501.02	492	387.91	1.01	1.01	1.4	10.06	112.63	0.94	0.83	13.45	145.32	0.9	0	9.02	96.32	492.95	492.96	493.01	493.62	508.47	492.88	492.27	483.47	411.56	492.85	491.95	482.93	398.9
R2C10	493.01	492.99	492.82	491.18	483.99	492.94	492.27	482.61	400.07	492.91	492.01	482.98	378.89	10.03	10.02	10.04	13.94	112.86	9.96	9.39	10.56	139.51	9.93	9.02	0	87.3	493.14	493.15	493.18	493.62	506.81	493.07	492.45	483.47	409.62	493.04	492.14	483.11	398.99
R2C100	405.81	405.79	405.63	404.09	399.77	405.74	405.08	395.52	317.53	405.71	404.81	395.78	291.67	97.33	97.32	97.3	97.52	147.29	97.26	96.66	88.62	109.16	97.22	96.32	87.3	0	503.62	503.6	503.48	502.35	499.14	503.54	502.81	492.32	401.16	503.52	502.63	493.69	410.42
R3A001	693.47	693.38	692.63	685.14	615.26	693.37	692.47	679.5	548.89	693.4	692.79	686.71	621.06	492.94	492.84	491.94	482.91	380.38	492.87	492.2	482.59	397.31	492.94	492.95	493.14	503.62	0	0.13	1	10.03	104.14	0.1	1	14	135.03	0.1	1.01	10.04	94.25
R3A01	693.4	693.32	692.56	685.07	615.19	693.3	692.4	679.44	548.82	693.33	692.72	686.64	621	492.95	492.85	491.94	482.91	380.38	492.87	492.2	482.6	397.29	492.95	492.96	493.15	503.6	0.13	0	0.9	9.93	104.04	0.1	0.94	13.93	134.96	0.16	1.01	10.04	94.25
R3A1	692.78	692.7	691.95	684.45	614.52	692.68	691.78	678.82	548.21	692.72	692.1	686.03	620.48	493	492.9	492	482.97	380.43	492.93	492.25	482.63	397.12	493	493.01	493.18	503.48	1	0.9	0	9.03	103.13	0.93	0.78	13.33	134.35	1.01	1.43	10.1	94.25
R3A10	686.65	686.56	685.81	678.26	607.83	686.55	685.65	672.69	542.15	686.58	685.98	679.97	615.3	493.63	493.53	492.62	483.59	380.99	493.55	492.87	483.08	395.52	493.62	493.62	493.62	502.35	10.03	9.93	9.03	0	94.11	9.96	9.37	10.16	128.38	10.03	10.09	14.25	94.76
R3A100	626.01	625.92	625.12	617.07	541.35	625.92	625.03	612.27	483.62	625.96	625.43	620.21	566.12	508.66	508.56	507.67	498.75	398.16	508.58	507.8	496.56	389.99	508.64	508.47	506.81	499.14	104.14	104.04	103.13	94.11	0	104.07	103.44	94.92	98.13	104.14	104.14	104.6	139.6
R3B01	693.37	693.28	692.53	685.04	615.16	693.27	692.37	679.4	548.79	693.3	692.69	686.61	620.96	492.87	492.77	491.87	482.84	380.31	492.8	492.13	482.52	397.23	492.87	492.88	493.07	503.54	0.1	0.1	0.93	9.96	104.07	0	0.9	13.9	134.93	0.1	0.94	9.96	94.17
R3B1	692.47	692.38	691.63	684.14	614.27	692.37	691.47	678.5	547.89	692.4	691.79	685.71	620.07	492.26	492.16	491.26	482.23	379.69	492.18	491.51	481.9	396.47	492.26	492.27	492.45	502.81	1	0.94	0.78	9.37	103.44	0.9	0	13	134.03	0.93	0.75	9.34	93.52
R3B10	679.47	679.38	678.63	671.14	601.31	679.37	678.47	665.5	534.89	679.4	678.79	672.71	607.2	483.48	483.38	482.47	473.44	370.84	483.4	482.72	472.93	385.58	483.48	483.47	483.47	492.32	14	13.93	13.33	10.16	94.92	13.9	13	0	121.03	13.93	13.3	9.73	84.63
R3B100	558.44	558.35	557.6	550.11	480.89	558.33	557.44	544.47	413.86	558.37	557.76	551.69	487.59	411.79	411.69	410.81	401.94	302.42	411.7	410.91	399.45	292.01	411.77	411.56	409.62	401.16	135.03	134.96	134.35	128.38	98.13	134.93	134.03	121.03	0	134.96	134.31	127.96	92.29
R3C01	693.4	693.31	692.56	685.07	615.2	693.3	692.4	679.43	548.81	693.33	692.72	686.64	620.98	492.84	492.74	491.84	482.81	380.28	492.77	492.1	482.49	397.21	492.84	492.85	493.04	503.52	0.1	0.16	1.01	10.03	104.14	0.1	0.93	13.93	134.96	0	0.9	9.94	94.15
R3C1	692.74	692.66	691.91	684.42	614.6	692.64	691.74	678.78	548.15	692.67	692.06	685.98	620.25	491.94	491.84	490.94	481.91	379.37	491.86	491.19	481.59	396.33	491.94	491.95	492.14	502.63	1.01	1.01	1.43	10.09	104.14	0.94	0.75	13.3	134.31	0.9	0	9.03	93.24
R3C10	686.24	686.16	685.41	677.97	608.68	686.14	685.24	672.27	541.6	686.17	685.55	679.41	612.96	482.92	482.82	481.91	472.88	370.35	482.84	482.17	472.56	387.48	482.92	482.93	483.11	493.69	10.04	10.04	10.1	14.25	104.6	9.96	9.34	9.73	127.96	9.94	9.03	0	84.21
R3C100	627.88	627.8	627.11	620.17	556.68	627.78	626.88	613.9	483.59	627.81	627.13	620.4	546.88	398.9	398.8	397.9	388.87	286.29	398.83	398.15	388.44	305.28	398.9	398.9	398.99	410.42	94.25	94.25	94.25	94.76	139.6	94.17	93.52	84.63	92.29	94.15	93.24	84.21	0
