,Network,Group,Network type,Conserved fraction,Prevalence of conserved fraction,Set type,Set size,Set type (absolute),Samples
592,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
593,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
594,Degree,sponges_networks,Degree networks,,,Difference,824,,10.0
595,Degree,sponges_networks,Degree networks,,,Intersection 0.2,129,2.0,10.0
596,Degree,sponges_networks,Degree networks,,,Intersection 0.3,17,3.0,10.0
597,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
598,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
599,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
600,Random,sponges_networks,Random networks,,,Difference,852,,10.0
601,Random,sponges_networks,Random networks,,,Intersection 0.2,119,2.0,10.0
602,Random,sponges_networks,Random networks,,,Intersection 0.3,11,3.0,10.0
603,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
604,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
605,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
