,Network,Group,Network type,Conserved fraction,Prevalence of conserved fraction,Set type,Set size,Set type (absolute),Samples
270,Degree,sponges_networks,Degree networks,,,Difference,804,,10.0
271,Degree,sponges_networks,Degree networks,,,Intersection 0.2,141,2.0,10.0
272,Degree,sponges_networks,Degree networks,,,Intersection 0.3,15,3.0,10.0
273,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
274,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
275,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
276,Random,sponges_networks,Random networks,,,Difference,855,,10.0
277,Random,sponges_networks,Random networks,,,Intersection 0.2,113,2.0,10.0
278,Random,sponges_networks,Random networks,,,Intersection 0.3,18,3.0,10.0
279,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
280,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
281,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
282,Degree,sponges_networks,Degree networks,,,Difference,785,,10.0
283,Degree,sponges_networks,Degree networks,,,Intersection 0.2,143,2.0,10.0
284,Degree,sponges_networks,Degree networks,,,Intersection 0.3,26,3.0,10.0
285,Degree,sponges_networks,Degree networks,,,Intersection 0.5,1,5.0,10.0
286,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
287,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
288,Random,sponges_networks,Random networks,,,Difference,880,,10.0
289,Random,sponges_networks,Random networks,,,Intersection 0.2,103,2.0,10.0
290,Random,sponges_networks,Random networks,,,Intersection 0.3,15,3.0,10.0
291,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
292,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
293,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
294,Degree,sponges_networks,Degree networks,,,Difference,785,,10.0
295,Degree,sponges_networks,Degree networks,,,Intersection 0.2,146,2.0,10.0
296,Degree,sponges_networks,Degree networks,,,Intersection 0.3,23,3.0,10.0
297,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
298,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
299,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
300,Random,sponges_networks,Random networks,,,Difference,862,,10.0
301,Random,sponges_networks,Random networks,,,Intersection 0.2,113,2.0,10.0
302,Random,sponges_networks,Random networks,,,Intersection 0.3,13,3.0,10.0
303,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
304,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
305,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
306,Degree,sponges_networks,Degree networks,,,Difference,792,,10.0
307,Degree,sponges_networks,Degree networks,,,Intersection 0.2,144,2.0,10.0
308,Degree,sponges_networks,Degree networks,,,Intersection 0.3,18,3.0,10.0
309,Degree,sponges_networks,Degree networks,,,Intersection 0.5,1,5.0,10.0
310,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
311,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
312,Random,sponges_networks,Random networks,,,Difference,849,,10.0
313,Random,sponges_networks,Random networks,,,Intersection 0.2,121,2.0,10.0
314,Random,sponges_networks,Random networks,,,Intersection 0.3,10,3.0,10.0
315,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
316,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
317,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
318,Degree,sponges_networks,Degree networks,,,Difference,805,,10.0
319,Degree,sponges_networks,Degree networks,,,Intersection 0.2,140,2.0,10.0
320,Degree,sponges_networks,Degree networks,,,Intersection 0.3,16,3.0,10.0
321,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
322,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
323,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
324,Random,sponges_networks,Random networks,,,Difference,882,,10.0
325,Random,sponges_networks,Random networks,,,Intersection 0.2,102,2.0,10.0
326,Random,sponges_networks,Random networks,,,Intersection 0.3,13,3.0,10.0
327,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
328,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
329,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
330,Degree,sponges_networks,Degree networks,,,Difference,829,,10.0
331,Degree,sponges_networks,Degree networks,,,Intersection 0.2,128,2.0,10.0
332,Degree,sponges_networks,Degree networks,,,Intersection 0.3,16,3.0,10.0
333,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
334,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
335,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
336,Random,sponges_networks,Random networks,,,Difference,869,,10.0
337,Random,sponges_networks,Random networks,,,Intersection 0.2,113,2.0,10.0
338,Random,sponges_networks,Random networks,,,Intersection 0.3,6,3.0,10.0
339,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
340,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
341,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
342,Degree,sponges_networks,Degree networks,,,Difference,815,,10.0
343,Degree,sponges_networks,Degree networks,,,Intersection 0.2,134,2.0,10.0
344,Degree,sponges_networks,Degree networks,,,Intersection 0.3,17,3.0,10.0
345,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
346,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
347,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
348,Random,sponges_networks,Random networks,,,Difference,876,,10.0
349,Random,sponges_networks,Random networks,,,Intersection 0.2,107,2.0,10.0
350,Random,sponges_networks,Random networks,,,Intersection 0.3,10,3.0,10.0
351,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
352,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
353,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
354,Degree,sponges_networks,Degree networks,,,Difference,774,,10.0
355,Degree,sponges_networks,Degree networks,,,Intersection 0.2,154,2.0,10.0
356,Degree,sponges_networks,Degree networks,,,Intersection 0.3,19,3.0,10.0
357,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
358,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
359,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
360,Random,sponges_networks,Random networks,,,Difference,855,,10.0
361,Random,sponges_networks,Random networks,,,Intersection 0.2,117,2.0,10.0
362,Random,sponges_networks,Random networks,,,Intersection 0.3,12,3.0,10.0
363,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
364,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
365,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
366,Degree,sponges_networks,Degree networks,,,Difference,823,,10.0
367,Degree,sponges_networks,Degree networks,,,Intersection 0.2,131,2.0,10.0
368,Degree,sponges_networks,Degree networks,,,Intersection 0.3,14,3.0,10.0
369,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
370,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
371,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
372,Random,sponges_networks,Random networks,,,Difference,862,,10.0
373,Random,sponges_networks,Random networks,,,Intersection 0.2,110,2.0,10.0
374,Random,sponges_networks,Random networks,,,Intersection 0.3,17,3.0,10.0
375,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
376,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
377,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
378,Degree,sponges_networks,Degree networks,,,Difference,792,,10.0
379,Degree,sponges_networks,Degree networks,,,Intersection 0.2,147,2.0,10.0
380,Degree,sponges_networks,Degree networks,,,Intersection 0.3,15,3.0,10.0
381,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
382,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
383,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
384,Random,sponges_networks,Random networks,,,Difference,870,,10.0
385,Random,sponges_networks,Random networks,,,Intersection 0.2,110,2.0,10.0
386,Random,sponges_networks,Random networks,,,Intersection 0.3,11,3.0,10.0
387,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
388,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
389,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
390,Degree,sponges_networks,Degree networks,,,Difference,816,,10.0
391,Degree,sponges_networks,Degree networks,,,Intersection 0.2,137,2.0,10.0
392,Degree,sponges_networks,Degree networks,,,Intersection 0.3,9,3.0,10.0
393,Degree,sponges_networks,Degree networks,,,Intersection 0.5,1,5.0,10.0
394,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
395,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
396,Random,sponges_networks,Random networks,,,Difference,841,,10.0
397,Random,sponges_networks,Random networks,,,Intersection 0.2,124,2.0,10.0
398,Random,sponges_networks,Random networks,,,Intersection 0.3,12,3.0,10.0
399,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
400,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
401,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
402,Degree,sponges_networks,Degree networks,,,Difference,823,,10.0
403,Degree,sponges_networks,Degree networks,,,Intersection 0.2,132,2.0,10.0
404,Degree,sponges_networks,Degree networks,,,Intersection 0.3,14,3.0,10.0
405,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
406,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
407,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
408,Random,sponges_networks,Random networks,,,Difference,867,,10.0
409,Random,sponges_networks,Random networks,,,Intersection 0.2,111,2.0,10.0
410,Random,sponges_networks,Random networks,,,Intersection 0.3,12,3.0,10.0
411,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
412,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
413,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
414,Degree,sponges_networks,Degree networks,,,Difference,812,,10.0
415,Degree,sponges_networks,Degree networks,,,Intersection 0.2,134,2.0,10.0
416,Degree,sponges_networks,Degree networks,,,Intersection 0.3,20,3.0,10.0
417,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
418,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
419,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
420,Random,sponges_networks,Random networks,,,Difference,851,,10.0
421,Random,sponges_networks,Random networks,,,Intersection 0.2,118,2.0,10.0
422,Random,sponges_networks,Random networks,,,Intersection 0.3,13,3.0,10.0
423,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
424,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
425,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
426,Degree,sponges_networks,Degree networks,,,Difference,831,,10.0
427,Degree,sponges_networks,Degree networks,,,Intersection 0.2,127,2.0,10.0
428,Degree,sponges_networks,Degree networks,,,Intersection 0.3,14,3.0,10.0
429,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
430,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
431,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
432,Random,sponges_networks,Random networks,,,Difference,861,,10.0
433,Random,sponges_networks,Random networks,,,Intersection 0.2,116,2.0,10.0
434,Random,sponges_networks,Random networks,,,Intersection 0.3,8,3.0,10.0
435,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
436,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
437,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
438,Degree,sponges_networks,Degree networks,,,Difference,822,,10.0
439,Degree,sponges_networks,Degree networks,,,Intersection 0.2,134,2.0,10.0
440,Degree,sponges_networks,Degree networks,,,Intersection 0.3,11,3.0,10.0
441,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
442,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
443,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
444,Random,sponges_networks,Random networks,,,Difference,869,,10.0
445,Random,sponges_networks,Random networks,,,Intersection 0.2,113,2.0,10.0
446,Random,sponges_networks,Random networks,,,Intersection 0.3,6,3.0,10.0
447,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
448,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
449,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
450,Degree,sponges_networks,Degree networks,,,Difference,778,,10.0
451,Degree,sponges_networks,Degree networks,,,Intersection 0.2,153,2.0,10.0
452,Degree,sponges_networks,Degree networks,,,Intersection 0.3,15,3.0,10.0
453,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
454,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
455,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
456,Random,sponges_networks,Random networks,,,Difference,873,,10.0
457,Random,sponges_networks,Random networks,,,Intersection 0.2,111,2.0,10.0
458,Random,sponges_networks,Random networks,,,Intersection 0.3,6,3.0,10.0
459,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
460,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
461,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
462,Degree,sponges_networks,Degree networks,,,Difference,811,,10.0
463,Degree,sponges_networks,Degree networks,,,Intersection 0.2,135,2.0,10.0
464,Degree,sponges_networks,Degree networks,,,Intersection 0.3,18,3.0,10.0
465,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
466,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
467,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
468,Random,sponges_networks,Random networks,,,Difference,868,,10.0
469,Random,sponges_networks,Random networks,,,Intersection 0.2,113,2.0,10.0
470,Random,sponges_networks,Random networks,,,Intersection 0.3,7,3.0,10.0
471,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
472,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
473,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
474,Degree,sponges_networks,Degree networks,,,Difference,829,,10.0
475,Degree,sponges_networks,Degree networks,,,Intersection 0.2,126,2.0,10.0
476,Degree,sponges_networks,Degree networks,,,Intersection 0.3,18,3.0,10.0
477,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
478,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
479,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
480,Random,sponges_networks,Random networks,,,Difference,869,,10.0
481,Random,sponges_networks,Random networks,,,Intersection 0.2,110,2.0,10.0
482,Random,sponges_networks,Random networks,,,Intersection 0.3,12,3.0,10.0
483,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
484,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
485,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
486,Degree,sponges_networks,Degree networks,,,Difference,798,,10.0
487,Degree,sponges_networks,Degree networks,,,Intersection 0.2,141,2.0,10.0
488,Degree,sponges_networks,Degree networks,,,Intersection 0.3,18,3.0,10.0
489,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
490,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
491,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
492,Random,sponges_networks,Random networks,,,Difference,886,,10.0
493,Random,sponges_networks,Random networks,,,Intersection 0.2,103,2.0,10.0
494,Random,sponges_networks,Random networks,,,Intersection 0.3,7,3.0,10.0
495,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
496,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
497,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
498,Degree,sponges_networks,Degree networks,,,Difference,832,,10.0
499,Degree,sponges_networks,Degree networks,,,Intersection 0.2,126,2.0,10.0
500,Degree,sponges_networks,Degree networks,,,Intersection 0.3,16,3.0,10.0
501,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
502,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
503,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
504,Random,sponges_networks,Random networks,,,Difference,909,,10.0
505,Random,sponges_networks,Random networks,,,Intersection 0.2,92,2.0,10.0
506,Random,sponges_networks,Random networks,,,Intersection 0.3,7,3.0,10.0
507,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
