"X104.AF"	"X104.Kuu"	"X104.Too2"	"X104.Too"	"X104.Abi"	"X104.Byl1"	"X104.AF1"	"X104.Abi2"	"X104.RL"	"X104.DH"	"X104.Tag"	"X104.Sva"	"X104.TM"	"X104.Byl2"	"X104.AF3"	"X104.CB"	"X104.CP"	"X104.Tru2"	"X104.Zac"	"X104.Thu"	"X104.Fai"	"X104.Abi3"	"X104.Art"	"X104.CT2"	"X104.DL"	"X104.DL1"	"X104.Noa"	"X104.Tru1"	"X104.KG"	"X104.KAV"	"X104.BI"	"X104.CT1"	"X104.WC"	"X104.CT"	"X104.Ska"	"X104.DL3"	"X104.Kil"	"X104.Ayl"	"X104.LR"	"X104.H1"	"X104.Lax"	"X104.H4"	"X104.H3"	"X104.H2"	"X104.KGR"	"X104.DL2"	"X104.Too3"	"X104.Too1"	"X104.AF2"	"X104.Yam"	"X104.Abi1"	"X104.CT3"
"3431064"	20	0	0	10	2	3	17	0	2	0	0	12	14	3	6	0	0	1	4	9	2	0	0	2	0	0	0	0	1	7	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	3	0	8	0	0	0
"1133624"	0	10	0	46	8	2	0	0	2	6	0	0	4	2	0	0	0	0	1	0	8	7	15	1	5	1	0	0	0	0	0	1	0	2	4	20	1	1	1	4	1	3	3	2	1	11	0	3	0	0	3	0
"545339"	0	2	0	2	1	2	0	0	0	6	0	0	1	2	0	0	0	0	0	0	1	0	10	3	2	3	0	0	0	2	0	1	0	3	1	7	1	7	0	1	1	0	5	0	2	0	0	1	0	2	0	0
"557001"	0	5	0	3	0	1	4	1	2	0	1	1	2	4	2	2	0	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0	5	0	0	0	2	1	0	0	2	0	0	0	0	0	2	0	1	0	0	0
"789730"	18	17	0	3	32	9	3	8	0	2	0	3	14	18	8	0	0	0	3	2	4	1	1	2	0	0	0	0	0	17	1	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	3	4	0	1	0
"1142733"	0	17	3	9	17	2	7	3	0	2	0	0	4	2	0	0	0	0	0	0	6	2	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	1	2	0	0	0	0	2	0	2	0	0	0	5	0
"223583"	0	3	0	12	3	0	1	0	2	0	1	0	8	0	0	2	3	0	0	2	8	0	74	1	23	3	1	0	0	0	1	14	2	9	20	54	3	10	0	5	2	8	3	1	1	22	1	3	4	4	0	0
"1094340"	3	19	0	3	2	1	0	3	0	1	0	0	1	9	5	0	0	0	0	2	11	1	0	2	0	0	0	0	0	4	0	3	0	2	1	0	0	0	2	2	1	0	1	0	2	0	0	0	2	0	1	0
"3990161"	0	3	2	4	5	4	1	0	0	1	0	0	2	1	0	0	0	0	0	0	0	4	35	3	7	2	0	0	0	0	2	4	0	3	2	7	2	11	0	1	0	0	0	0	2	3	0	0	0	0	1	0
"4341561"	6	16	0	8	28	5	3	1	0	0	0	0	11	7	4	0	0	0	0	0	3	6	10	4	2	0	0	0	0	7	0	6	0	9	0	0	4	1	3	2	0	3	4	0	2	0	3	2	2	3	4	1
"1126251"	0	22	0	3	3	4	0	0	0	3	0	0	3	0	0	0	0	0	0	0	1	0	54	3	10	1	0	0	0	0	4	18	0	18	14	24	4	16	1	5	0	4	8	0	8	7	0	1	0	3	0	0
"3174304"	0	3	0	3	1	2	0	0	3	2	0	0	1	2	0	0	1	0	0	0	1	0	18	9	1	0	0	0	0	3	0	1	0	3	2	0	0	6	0	5	1	0	2	2	4	1	0	0	0	0	0	0
"4343458"	0	5	0	3	3	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	17	1	1	0	0	0	0	0	4	2	0	2	1	6	0	3	4	1	0	0	2	0	0	8	0	1	0	1	0	0
"155989"	1	6	0	1	4	1	0	0	0	1	0	0	6	9	0	0	0	0	0	0	0	1	9	0	0	1	0	0	0	0	1	0	0	3	3	0	0	12	2	1	0	4	0	0	2	0	0	0	0	0	1	0
"1002658"	3	13	1	9	8	5	2	1	0	2	0	1	1	3	0	2	9	2	0	3	2	2	0	5	0	0	2	0	0	2	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"112867"	6	6	0	6	1	3	5	2	6	0	6	11	1	6	6	12	8	6	5	7	2	0	0	13	0	0	0	3	9	1	4	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	5	0	2	0	0	0
"156611"	0	51	0	8	32	10	0	1	0	30	0	0	7	6	0	0	0	0	0	0	14	3	67	7	43	3	0	0	0	4	25	55	0	52	24	43	6	33	0	12	1	7	41	4	27	41	0	1	0	13	4	0
"4367783"	3	15	0	17	18	6	4	2	0	3	0	0	25	2	0	0	0	0	0	0	5	9	11	0	8	1	0	0	0	1	0	0	0	1	14	7	2	5	0	12	0	3	13	0	9	1	3	1	0	7	1	1
"841979"	0	5	0	4	2	1	0	1	1	13	0	0	1	1	0	0	0	0	0	0	2	0	15	1	4	1	0	0	0	0	4	4	0	3	3	3	0	2	0	3	1	1	0	0	2	2	3	0	0	0	0	0
"2300392"	4	0	1	1	5	3	5	5	28	0	0	9	8	2	7	0	2	0	3	8	5	0	0	0	0	0	5	0	0	0	2	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
"149819"	0	0	0	8	3	1	3	0	3	1	2	0	3	1	3	0	4	1	1	1	1	0	4	2	0	0	0	2	0	2	2	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0
"697651"	2	6	1	2	3	3	1	0	0	3	0	0	0	0	0	0	0	0	0	1	6	0	6	0	1	0	0	0	0	3	0	1	2	1	3	0	5	6	2	7	5	1	2	2	3	0	0	0	1	0	2	0
"1011380"	6	41	1	8	35	2	3	11	0	10	0	0	16	7	1	0	0	0	0	0	3	1	202	1	9	0	0	0	0	1	3	4	4	27	2	3	0	17	13	12	4	2	8	6	8	1	7	2	0	1	0	0
"544990"	1	10	0	4	3	14	2	3	0	3	0	0	12	5	1	0	0	0	0	0	5	0	12	7	6	0	0	0	0	3	0	0	0	4	8	0	1	3	1	3	0	2	3	3	7	8	1	0	2	6	2	0
"357011"	15	25	1	23	6	6	12	1	18	5	12	1	14	7	5	10	7	0	0	13	24	3	15	2	0	0	6	3	3	6	1	1	17	7	0	2	2	1	5	1	1	0	2	0	2	2	10	0	3	1	0	0
"208293"	0	54	0	5	11	2	0	3	2	11	0	0	15	2	7	1	2	2	3	0	1	2	90	3	15	0	3	5	0	9	7	9	0	24	7	21	10	7	1	11	0	3	31	5	7	5	0	2	0	9	3	1
"1133738"	0	9	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	2	1	12	0	1	0	0	0	0	0	1	9	0	6	18	6	0	8	2	1	1	0	6	1	2	6	0	0	0	2	0	0
"250050"	0	1	0	0	2	1	3	1	2	0	0	1	0	2	0	0	1	0	0	0	1	0	0	11	0	0	1	0	0	1	1	0	0	3	1	0	0	0	1	0	0	0	0	0	1	0	0	1	2	0	1	0
"512226"	0	22	0	9	7	19	1	0	0	0	0	0	4	1	0	0	0	0	0	0	3	2	35	2	5	1	4	0	0	3	3	11	0	4	10	13	4	8	0	7	0	2	3	1	3	3	0	2	0	3	0	0
"4447214"	0	8	0	6	4	1	0	1	0	3	0	0	0	2	0	0	0	0	0	0	3	3	0	0	4	0	0	0	0	0	0	3	0	0	0	9	0	1	1	5	0	1	17	1	0	3	0	0	0	1	0	0
"542933"	0	4	1	7	2	0	1	4	2	2	2	5	1	2	1	0	0	1	0	2	0	0	0	2	0	0	0	0	0	2	2	0	3	2	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0
"3046706"	0	3	0	3	2	2	2	0	3	0	6	9	5	1	0	2	13	0	1	2	1	0	14	1	0	0	2	6	4	0	5	0	1	7	1	0	1	4	2	4	1	1	1	1	3	2	0	0	0	2	0	0
"845780"	0	3	0	3	13	10	2	1	0	0	0	0	0	2	0	0	0	0	1	1	1	2	21	1	1	0	0	0	0	3	1	2	0	2	3	1	2	5	0	0	0	2	2	0	2	8	1	0	0	0	2	0
"1141687"	0	10	1	39	6	15	0	1	0	16	0	0	2	9	0	0	0	0	0	0	7	4	17	1	15	1	0	0	0	2	1	1	0	6	9	29	4	5	2	9	3	4	3	0	3	7	0	8	0	8	2	0
"216549"	15	0	0	0	1	2	9	0	1	0	0	11	3	13	1	6	17	3	3	3	0	0	0	0	0	0	1	8	0	0	2	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
"78839"	4	1	0	1	7	1	7	0	0	3	0	1	11	2	3	0	0	0	1	0	1	3	0	0	4	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	1	1	4	0	0	0	1	1	1	0
"338517"	33	30	0	34	22	4	9	3	28	4	3	11	22	8	10	4	1	3	3	6	14	0	23	2	1	0	1	0	3	3	5	0	3	3	2	0	1	1	3	6	3	4	2	0	7	2	1	2	1	2	3	0
"4382894"	2	0	0	1	1	3	3	0	33	1	0	0	1	4	1	1	0	1	0	1	1	2	0	4	0	0	1	1	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"2285453"	2	30	2	74	25	12	4	2	11	9	0	0	12	9	0	0	0	0	0	0	21	14	34	3	42	2	0	0	0	2	6	29	0	11	17	83	10	22	2	18	1	13	6	6	11	55	5	26	1	2	7	0
"4402900"	6	1	0	0	0	4	0	1	1	0	2	2	4	1	1	2	1	4	0	4	0	0	1	0	0	0	0	1	1	1	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	5	0	0	0
"4411"	1	26	0	10	7	0	0	2	0	22	0	0	6	1	0	0	0	0	2	0	10	1	50	0	3	3	0	0	1	2	2	1	0	13	5	4	1	5	5	2	0	4	0	1	3	8	0	2	0	3	1	1
"105552"	0	2	0	3	5	6	1	1	0	1	0	0	0	2	1	0	0	0	0	1	2	4	2	2	0	0	0	0	0	0	1	0	0	1	1	0	2	0	2	1	1	0	0	0	0	0	0	0	0	1	4	0
"29704"	0	1	4	5	4	2	0	0	1	0	0	0	1	6	0	0	0	0	0	2	0	1	6	1	0	0	0	0	0	0	2	0	0	0	5	2	2	2	0	1	0	0	2	0	0	3	3	1	0	1	0	0
"222087"	0	22	0	4	4	8	0	0	0	3	0	0	3	3	0	0	0	0	0	0	0	1	7	3	2	0	0	0	0	1	2	7	0	7	8	1	5	4	2	2	0	0	1	1	1	1	0	3	0	0	1	1
"111925"	0	4	1	11	1	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	3	1	9	1	4	1	0	0	0	0	1	0	0	1	1	6	1	1	0	1	0	0	1	6	0	3	0	0	1	0	0	0
"4369693"	3	0	0	4	2	0	1	1	2	0	0	2	2	0	1	0	0	5	1	1	0	0	3	4	0	0	1	0	0	1	4	0	2	5	0	2	0	1	0	1	2	0	0	0	1	0	0	0	1	0	0	0
"712222"	2	5	1	3	0	3	0	0	1	3	1	0	2	5	1	0	2	0	0	2	4	1	9	2	5	0	0	0	0	0	0	1	0	2	5	3	0	1	4	1	0	2	0	1	2	1	2	0	2	0	1	0
"679240"	11	3	1	5	3	3	5	0	0	2	0	0	1	3	2	0	1	0	0	1	2	3	0	1	0	0	0	0	0	4	2	0	0	1	0	0	0	0	3	1	1	0	0	1	1	0	1	0	0	0	0	0
"742260"	12	9	1	6	1	2	10	2	3	2	0	1	3	15	1	0	0	0	0	0	6	3	8	1	0	0	1	0	1	0	2	1	0	0	1	1	0	0	6	2	4	1	0	0	29	0	1	1	4	0	0	0
"4387966"	0	5	0	1	1	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	1	2	0	0	0	0	2	4	2	0	2	4	0	1	10	0	3	2	0	5	0	1	0	0	0	0	3	0	0
"218479"	0	1	0	3	3	0	2	0	0	1	0	0	0	2	0	0	0	0	0	2	2	0	2	3	0	0	0	0	0	0	1	3	0	2	2	8	0	0	1	2	0	0	3	0	0	0	0	0	0	1	1	0
"1101315"	2	0	3	2	1	2	1	2	1	0	0	27	2	0	1	4	11	11	0	6	0	0	0	0	0	0	0	4	3	1	7	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"4457840"	2	23	0	10	4	7	3	0	0	12	0	0	1	4	0	0	0	0	2	0	3	8	40	5	23	2	0	0	1	1	8	11	0	16	20	24	4	16	0	10	0	5	9	4	12	7	0	0	3	2	1	0
"146397"	21	8	3	20	6	2	10	5	50	5	5	6	7	13	18	6	14	8	3	17	13	0	3	2	0	0	12	1	2	1	4	0	6	2	1	1	0	0	3	0	4	1	1	0	5	0	3	1	15	0	1	0
"278565"	2	7	0	2	9	3	3	0	0	4	0	0	10	9	0	0	0	0	1	0	2	3	10	3	1	0	0	0	0	0	3	0	0	9	4	2	1	6	1	6	0	4	0	1	15	2	0	1	0	0	0	0
"536860"	0	20	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	3	0	0	0	0	1	5	5	0	3	0	3	1	4	0	11	0	2	8	2	4	2	0	0	0	3	1	0
"2578357"	1	22	0	3	3	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	22	7	13	3	0	0	0	0	1	0	1	8	4	9	7	47	0	7	0	3	18	5	3	5	0	0	0	6	1	0
"1136581"	5	3	0	8	4	2	5	1	2	0	0	2	2	5	1	0	0	2	0	4	2	0	0	0	0	0	0	0	0	0	2	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0
"4480595"	4	5	1	0	1	1	3	4	0	3	0	6	2	1	1	1	1	2	2	2	1	0	0	1	0	0	0	1	0	0	5	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	3	0	0	0
"673846"	1	1	0	0	1	1	2	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	4	0	2	0	0	0	0	1	0	1	0	5	5	2	1	4	0	1	0	0	0	0	1	0	0	0	0	0	0	0
"225398"	16	14	0	15	6	7	6	4	1	0	0	3	1	13	3	0	1	0	2	4	0	2	0	3	0	0	0	1	0	7	4	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	3	0	1	0
"206565"	0	15	2	1	5	1	0	1	0	0	0	0	3	3	0	0	0	0	0	0	0	0	19	3	2	0	0	0	0	0	3	8	0	13	11	9	2	4	1	9	0	1	1	0	10	6	0	2	2	0	1	0
"214611"	13	3	0	1	6	5	4	1	1	2	1	0	1	5	1	3	11	0	2	5	1	0	0	2	0	0	1	1	2	1	2	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0
"616682"	4	7	3	9	3	1	8	1	15	2	1	5	11	4	2	3	1	1	0	3	1	0	4	0	2	0	1	1	1	0	3	0	1	2	0	0	2	0	0	0	0	0	1	0	2	2	5	0	0	0	0	0
"510452"	0	4	0	4	1	3	0	0	14	0	0	0	1	1	0	0	0	0	0	0	1	0	1	3	4	0	4	0	1	0	0	21	0	1	3	3	0	1	0	2	0	1	0	0	0	1	0	0	0	0	0	0
"1130478"	0	13	2	13	8	3	0	0	0	6	0	0	3	5	0	0	0	0	1	1	12	4	6	4	13	0	0	0	0	0	0	9	0	11	3	46	1	4	5	3	1	0	3	0	8	5	2	1	0	5	3	0
"160366"	0	20	0	2	1	10	0	0	0	7	0	0	1	8	0	0	0	0	0	0	2	0	13	0	2	0	0	0	0	0	3	0	0	1	39	5	6	3	0	7	0	0	0	0	2	1	2	1	0	6	0	0
"4330207"	26	9	0	10	4	17	17	1	19	0	13	36	3	27	5	58	119	53	4	4	0	0	0	2	0	0	16	47	6	0	15	0	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
"1104509"	1	30	0	9	10	11	0	0	0	5	0	0	11	11	0	0	0	0	0	0	0	4	7	0	7	0	0	0	0	3	2	0	0	0	2	12	2	7	1	5	0	4	4	0	2	0	2	0	0	0	1	0
"814176"	0	16	4	22	7	18	0	0	3	4	0	0	2	7	0	0	0	0	0	0	17	4	18	1	3	1	0	0	0	1	3	0	0	2	15	13	7	6	3	2	0	1	1	1	6	10	3	7	0	3	2	0
"334186"	2	2	0	1	1	0	3	3	7	0	11	7	1	1	1	19	35	8	0	1	3	0	0	2	0	0	6	16	9	1	7	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
